Date,Symbol,Open,High,Low,Close,Volume
2026-01-13,ABBOTINDIA.NS,28420.0,28525.0,28000.0,28090.0,3869
2026-01-14,ABBOTINDIA.NS,28105.0,28350.0,27850.0,27880.0,4218
2026-01-15,ABBOTINDIA.NS,27880.0,27880.0,27880.0,27880.0,0
2026-01-16,ABBOTINDIA.NS,27880.0,28130.0,27650.0,27755.0,3983
2026-01-19,ABBOTINDIA.NS,27725.0,28020.0,27600.0,27750.0,3254
2026-01-20,ABBOTINDIA.NS,27750.0,27750.0,27140.0,27210.0,4656
2026-01-21,ABBOTINDIA.NS,27260.0,27695.0,26930.0,27575.0,3881
2026-01-22,ABBOTINDIA.NS,27800.0,27880.0,27540.0,27725.0,2237
2026-01-23,ABBOTINDIA.NS,27850.0,28100.0,27555.0,27780.0,3524
2026-01-27,ABBOTINDIA.NS,27915.0,27915.0,27230.0,27685.0,4631
2026-01-28,ABBOTINDIA.NS,27895.0,27895.0,27515.0,27610.0,3515
2026-01-29,ABBOTINDIA.NS,27575.0,27575.0,26580.0,26635.0,14774
2026-01-30,ABBOTINDIA.NS,26610.0,27995.0,26430.0,27565.0,17026
2026-02-02,ABBOTINDIA.NS,27470.0,27495.0,26940.0,27325.0,6255
2026-02-03,ABBOTINDIA.NS,27885.0,27910.0,26800.0,26880.0,10469
2026-02-04,ABBOTINDIA.NS,27000.0,27280.0,26815.0,27100.0,7911
2026-02-05,ABBOTINDIA.NS,27200.0,27300.0,26865.0,27215.0,3371
2026-02-06,ABBOTINDIA.NS,27200.0,27415.0,26915.0,27365.0,4095
2026-02-09,ABBOTINDIA.NS,27450.0,27700.0,27305.0,27480.0,10042
2026-02-10,ABBOTINDIA.NS,27700.0,27700.0,27235.0,27295.0,10501
2026-02-11,ABBOTINDIA.NS,27495.0,27495.0,26820.0,26915.0,9404
2026-02-12,ABBOTINDIA.NS,27135.0,27135.0,26550.0,26660.0,14882
2026-02-13,ABBOTINDIA.NS,26680.0,26685.0,26300.0,26460.0,6553
2026-02-16,ABBOTINDIA.NS,26495.0,26665.0,26240.0,26290.0,4779
2026-02-17,ABBOTINDIA.NS,26470.0,26700.0,26210.0,26620.0,8453
2026-02-18,ABBOTINDIA.NS,26740.0,26850.0,26435.0,26460.0,7659
2026-02-19,ABBOTINDIA.NS,26530.0,26545.0,26335.0,26395.0,4981
2026-02-20,ABBOTINDIA.NS,26495.0,26780.0,26250.0,26295.0,7695
2026-02-23,ABBOTINDIA.NS,26415.0,26515.0,26240.0,26470.0,4509
2026-02-24,ABBOTINDIA.NS,26400.0,26520.0,26215.0,26365.0,1960
2026-02-25,ABBOTINDIA.NS,26485.0,26500.0,26100.0,26410.0,5546
2026-02-26,ABBOTINDIA.NS,26540.0,26540.0,26265.0,26355.0,1908
2026-02-27,ABBOTINDIA.NS,26410.0,26595.0,26075.0,26530.0,7169
2026-03-02,ABBOTINDIA.NS,26025.0,26900.0,26000.0,26805.0,12530
2026-03-04,ABBOTINDIA.NS,26805.0,27930.0,26505.0,27825.0,25338
2026-03-05,ABBOTINDIA.NS,27905.0,28490.0,27520.0,27615.0,18832
2026-03-06,ABBOTINDIA.NS,27615.0,27630.0,27160.0,27325.0,6061
2026-03-09,ABBOTINDIA.NS,27000.0,27300.0,26735.0,27185.0,6395
2026-03-10,ABBOTINDIA.NS,27300.0,27365.0,26705.0,26810.0,9965
2026-03-11,ABBOTINDIA.NS,27000.0,27325.0,26650.0,27200.0,9145
2026-03-12,ABBOTINDIA.NS,27000.0,27000.0,26530.0,26685.0,6590
2026-03-13,ABBOTINDIA.NS,26430.0,27260.0,26290.0,26960.0,7310
2026-03-16,ABBOTINDIA.NS,27045.0,27090.0,26605.0,26670.0,9442
2026-03-17,ABBOTINDIA.NS,26890.0,26890.0,26290.0,26450.0,5175
2026-03-18,ABBOTINDIA.NS,26500.0,26700.0,26275.0,26375.0,8384
2026-03-19,ABBOTINDIA.NS,26310.0,27095.0,26000.0,26515.0,9265
2026-03-20,ABBOTINDIA.NS,26515.0,26790.0,26400.0,26715.0,5188
2026-03-23,ABBOTINDIA.NS,26570.0,26570.0,25420.0,25485.0,15029
2026-03-24,ABBOTINDIA.NS,25690.0,27000.0,25350.0,26800.0,14823
2026-03-25,ABBOTINDIA.NS,26860.0,27100.0,26290.0,26405.0,9078
2026-03-27,ABBOTINDIA.NS,26455.0,26555.0,25865.0,26135.0,9729
2026-03-30,ABBOTINDIA.NS,26055.0,26200.0,25720.0,25915.0,23537
2026-04-01,ABBOTINDIA.NS,26415.0,26550.0,25990.0,26490.0,6360
2026-04-02,ABBOTINDIA.NS,26480.0,26550.0,25990.0,26285.0,4065
2026-04-06,ABBOTINDIA.NS,26285.0,26440.0,25865.0,25895.0,8267
2026-04-07,ABBOTINDIA.NS,26000.0,26060.0,25600.0,25665.0,5275
2026-04-08,ABBOTINDIA.NS,26095.0,26235.0,25795.0,25850.0,9402
2026-04-09,ABBOTINDIA.NS,26100.0,26100.0,25720.0,25780.0,10072
2026-04-10,ABBOTINDIA.NS,25965.0,25970.0,25620.0,25780.0,9771
2026-04-13,ABBOTINDIA.NS,25560.0,25895.0,25310.0,25735.0,4859
