Date,Symbol,Open,High,Low,Close,Volume
2026-01-13,ASTRAZEN.NS,8280.0,8395.5,8121.5,8226.5,10615
2026-01-14,ASTRAZEN.NS,8121.5,8331.5,8121.5,8284.0,7427
2026-01-16,ASTRAZEN.NS,8339.5,8379.0,8162.0,8264.0,9036
2026-01-19,ASTRAZEN.NS,8240.0,8349.0,8150.0,8298.0,6749
2026-01-20,ASTRAZEN.NS,8310.0,8320.0,8171.0,8250.5,10980
2026-01-21,ASTRAZEN.NS,8232.0,8271.5,8127.5,8257.5,10825
2026-01-22,ASTRAZEN.NS,8295.0,8369.0,8235.0,8347.0,5962
2026-01-23,ASTRAZEN.NS,8336.0,8360.0,8254.0,8319.0,5165
2026-01-27,ASTRAZEN.NS,8319.0,8365.0,8158.0,8349.0,7395
2026-01-28,ASTRAZEN.NS,8329.5,8489.0,8271.0,8454.5,6249
2026-01-29,ASTRAZEN.NS,8434.0,8434.0,8330.0,8391.0,2704
2026-01-30,ASTRAZEN.NS,8415.0,8595.0,8329.5,8550.0,4432
2026-02-02,ASTRAZEN.NS,8574.0,8650.0,8430.5,8629.5,3562
2026-02-03,ASTRAZEN.NS,8698.0,8777.0,8646.5,8710.0,6215
2026-02-04,ASTRAZEN.NS,8710.0,8775.0,8591.0,8668.0,5922
2026-02-05,ASTRAZEN.NS,8646.0,8666.5,8538.5,8621.5,3261
2026-02-06,ASTRAZEN.NS,8580.0,8635.0,8540.0,8600.0,4570
2026-02-09,ASTRAZEN.NS,8600.5,8709.5,8600.5,8674.0,3516
2026-02-10,ASTRAZEN.NS,8800.0,9000.0,8694.0,8960.5,10901
2026-02-11,ASTRAZEN.NS,8970.5,9220.0,8970.5,9068.0,24185
2026-02-12,ASTRAZEN.NS,8790.0,8847.5,8613.0,8824.0,32398
2026-02-13,ASTRAZEN.NS,8829.5,9000.0,8641.0,8919.0,9284
2026-02-16,ASTRAZEN.NS,8898.0,8975.0,8820.0,8904.0,2770
2026-02-17,ASTRAZEN.NS,8930.0,8981.0,8861.5,8930.5,3702
2026-02-18,ASTRAZEN.NS,8930.5,9010.5,8855.0,8886.0,3172
2026-02-19,ASTRAZEN.NS,8919.5,8960.0,8870.5,8903.0,2460
2026-02-20,ASTRAZEN.NS,8880.0,8945.0,8852.0,8889.5,3789
2026-02-23,ASTRAZEN.NS,8894.0,8944.5,8807.0,8868.0,7981
2026-02-24,ASTRAZEN.NS,8870.0,8870.0,8681.0,8800.5,5237
2026-02-25,ASTRAZEN.NS,8771.0,8889.0,8771.0,8869.0,2566
2026-02-26,ASTRAZEN.NS,8826.5,8949.0,8810.0,8849.0,2557
2026-02-27,ASTRAZEN.NS,8805.0,8921.5,8760.0,8849.0,3340
2026-03-02,ASTRAZEN.NS,8352.0,8828.0,8352.0,8801.0,7555
2026-03-04,ASTRAZEN.NS,8779.5,8779.5,8572.0,8701.5,7488
2026-03-05,ASTRAZEN.NS,8790.0,8790.0,8503.0,8601.0,9902
2026-03-06,ASTRAZEN.NS,8560.0,8745.0,8509.0,8704.5,3424
2026-03-09,ASTRAZEN.NS,8599.5,8700.0,8474.5,8667.5,5828
2026-03-10,ASTRAZEN.NS,8799.5,8849.0,8615.0,8815.5,3477
2026-03-11,ASTRAZEN.NS,8815.5,8859.5,8625.5,8760.0,2560
2026-03-12,ASTRAZEN.NS,8700.0,8726.5,8575.0,8609.0,2522
2026-03-13,ASTRAZEN.NS,8575.0,8579.0,8292.0,8401.0,6947
2026-03-16,ASTRAZEN.NS,8410.0,8450.0,8259.5,8375.5,7396
2026-03-17,ASTRAZEN.NS,8440.5,8506.0,8312.0,8449.5,5900
2026-03-18,ASTRAZEN.NS,8465.0,8591.0,8417.0,8483.5,3712
2026-03-19,ASTRAZEN.NS,8401.0,8544.5,8350.5,8370.5,3112
2026-03-20,ASTRAZEN.NS,8402.0,8462.5,8301.0,8321.0,3299
2026-03-23,ASTRAZEN.NS,8300.0,8300.0,8001.0,8154.5,16039
2026-03-24,ASTRAZEN.NS,8258.0,8336.0,8129.0,8276.0,3892
2026-03-25,ASTRAZEN.NS,8294.0,8449.5,8284.5,8415.0,4518
2026-03-27,ASTRAZEN.NS,8400.5,8442.0,7806.5,7931.0,62979
2026-03-30,ASTRAZEN.NS,7811.0,7901.5,7677.0,7765.5,13887
2026-04-01,ASTRAZEN.NS,7970.0,7997.0,7755.5,7852.0,8860
2026-04-02,ASTRAZEN.NS,7790.0,7877.0,7700.0,7827.5,7311
2026-04-06,ASTRAZEN.NS,7800.0,7827.0,7551.5,7768.5,10814
2026-04-07,ASTRAZEN.NS,7770.0,7855.0,7727.5,7791.5,4000
2026-04-08,ASTRAZEN.NS,8000.0,8000.0,7843.0,7889.5,7111
2026-04-09,ASTRAZEN.NS,7934.5,8070.0,7849.0,8051.0,7817
2026-04-10,ASTRAZEN.NS,8332.5,8412.5,8126.5,8299.0,20230
2026-04-13,ASTRAZEN.NS,8024.5,8895.0,8024.0,8814.0,40815
